Date,Core-Dividend-Growth-ETF,MSCI-USA-Momentum-Factor-ETF,SP-500-Value-ETF,Asia-50-ETF,MSCI-USA-Quality-GARP-ETF,MSCI-EAFE-Min-Vol-Factor-ETF,Edge-MSCI-World-Momentum-Factor-UCITS-ETF-USD-Acc,MSCI-USA-Min-Vol-Factor-ETF,Edge-MSCI-Europe-Momentum-Factor-UCITS-ETF-EUR-Acc,MSCI-USA-Quality-Factor-ETF,Edge-MSCI-Europe-Minimum-Volatility-UCITS-ETF-EUR-A,Edge-MSCI-World-Minimum-Volatility-UCITS-ETF-USD-Ac,MSCI-Global-Min-Vol-Factor-ETF,MSCI-USA-Equal-Weighted-ETF,Russell-2000-ETF
30-11-2020,12.18,10.56,12.87,9.69,10.44,9.75,9.843695,8.2,6.491283,11.46,8.165793,7.004178,6.78,14.12,18.44
31-12-2020,3.32,3.46,3.48,8.47,5.74,2.51,4.2649,2.33,3.82322,3.72,1.101417,2.071865,2.39,4.33,8.64
31-01-2021,-1.52,1.66,-1.59,6.93,0.66,-1.07,0.74475,-2.68,0.314032,-2.82,-0.889325,-1.938895,-1.61,-0.96,5.0
28-02-2021,2.65,-0.59,5.89,0.84,-0.85,-1.8,-0.629085,-0.39,-0.227329,3.29,-1.738259,-1.616601,-1.19,5.2,6.23
31-03-2021,7.03,-1.24,6.23,-3.44,2.42,2.27,0.205152,5.51,5.970849,4.79,6.17222,4.916592,4.67,4.31,0.99
30-04-2021,3.38,7.1,3.72,2.4,5.44,1.61,6.784776,4.05,3.581622,4.87,1.577843,2.969364,2.75,5.01,2.1
31-05-2021,1.86,-1.11,2.4,-1.65,-0.59,3.06,-1.097172,0.81,0.847377,1.07,2.408969,1.742261,1.82,1.44,0.2
30-06-2021,-0.3,1.9,-1.18,1.0,5.57,0.33,1.136863,1.8,0.571502,3.32,3.442289,0.980298,0.63,1.66,1.92
31-07-2021,2.52,0.93,0.78,-8.81,3.36,2.26,1.642958,3.48,3.595083,3.38,3.406468,2.670191,1.65,1.31,-3.61
31-08-2021,2.26,4.14,1.71,-0.37,4.33,1.67,3.159274,1.93,1.893834,2.84,1.939464,1.785132,2.05,2.34,2.22
30-09-2021,-4.48,-3.49,-3.31,-5.9,-6.42,-4.0,-3.732954,-4.97,-3.238256,-6.4,-4.711802,-4.533227,-3.65,-4.19,-2.98
31-10-2021,5.77,8.55,4.59,2.2,8.45,1.55,7.498368,5.45,5.515501,7.66,3.740324,3.08516,2.71,5.74,4.25
